Algorithm,Time Ran,Profit,Number Tasks Scheduled,Number of Required Tasks Schedules,Number of Optional Tasks Scheduled,Total Waiting Time,Total Working Time,Total Distance Traveled,Test Name,Number of Available Tasks,Number of Days,Average Duration of the Tasks,Average Number of Time Windows Per Task,Average Length of All Time Windows,Number of Available Release Tasks
GBOOBD,0.01904296875,4102.0,44,6,38,435.0,2297.0,1236,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
GBOFRT,0.01279592514038086,4140.0,41,6,35,716.0,2191.0,1049,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
GBOPOA,0.011967897415161133,4132.0,41,6,35,635.0,2258.0,1079,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
GBOOBP,0.012567996978759766,4140.0,41,6,35,716.0,2191.0,1049,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
GPC,0.17580509185791016,3422.0,39,5,34,524.0,2234.0,1182,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
Pulse,300.24570393562317,4079.0,41,6,35,299.0,2606.0,1279,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
VNS,319.18128991127014,4148.0,44,6,38,148.0,2444.0,1130,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
TRI,300.00400495529175,4134.0,43,6,37,331.0,2400.0,1239,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
TBF,300.0066409111023,4073.0,40,6,34,506.0,2352.0,1199,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
IP,308.0905339717865,4159.0,46,6,40,98.0,2601.0,1260,/test_baseline_0.csv,64,3,61.96875,2.8125,209,0
GBOOBD,0.013882875442504883,4129.0,44,6,38,543.0,2398.0,1166,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
GBOFRT,0.012675046920776367,4149.0,43,6,37,707.0,2356.0,1064,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
GBOPOA,0.013072013854980469,4154.0,44,6,38,400.0,2543.0,1115,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
GBOOBP,0.012588024139404297,4149.0,43,6,37,707.0,2356.0,1064,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
GPC,0.2021958827972412,4125.0,44,6,38,456.0,2536.0,1062,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
Pulse,300.2393469810486,3457.0,39,5,34,478.0,2409.0,1058,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
VNS,321.93948197364807,4163.0,46,6,40,236.0,2651.0,1156,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
TRI,300.01156187057495,4145.0,43,6,37,454.0,2551.0,1025,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
TBF,300.00723791122437,3469.0,41,5,36,589.0,2378.0,969,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
IP,308.06248593330383,4168.0,47,6,41,197.00000000001177,2585.0,1155,/test_baseline_1.csv,64,3,62.671875,3.171875,196,0
GBOOBD,0.01164698600769043,4118.0,47,6,41,379.0,2317.0,1283,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
GBOFRT,0.012598037719726562,4123.0,42,6,36,614.0,2070.0,1122,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
GBOPOA,0.012495994567871094,4141.0,45,6,39,435.0,2373.0,1128,/test_baseline_2.csv,64,3,57.265625,2.78125,211,0
